id,time,friends,followers
10013848,26809,14,14
57644294,3434,15,15
152519327,346487,13,12
11319474,12875,16,16
57643839,5105,17,17
152928399,9198,13,12
761568487,2564,13,13
207078539,44366,10,9
152821498,3476,13,13
152809006,3248,13,12
152578411,5678,11,11
44759306,8662,15,15
58265038,13145,12,12
57651442,1707,15,15
57652487,12687,14,14
57652973,3707,14,14
10849707,6811,11,11
58424546,4365,14,14
152735385,65109,9,9
67521714,27576,13,13
152595875,1043,13,14
23322283,10699,15,15
252043380,61029,14,14
14248729,26444,13,12
57648963,43243,15,15
152929017,53951,9,9
57645133,40658,16,16
215734804,24454,11,9
149543289,5438,13,13
152956849,4387,14,14
73198614,60562,12,12
152925397,2757,13,13
83920561,4804,12,12
152591962,25379,11,10
19075432,5592,16,16
38923011,43808,13,13
152622202,6932,10,9
152711646,29073,12,12
69748230,46094,13,11
97440793,27253,15,15
152546035,343383,10,10
57643314,2379,16,16
52571646,42248,12,12
152898700,13103,13,12
585094886,10408,9,9
58424244,2742,7,10
57647648,25350,16,16
40014311,2825,17,17
152485542,9374,10,9
37604801,7309,13,13
57647341,25818,15,15
57651057,25871,12,12
675156359,5958,11,12
174524287,28448,9,9
57649152,23977,16,16
298838230,3643,11,11
57997248,55863,11,11
57643814,4243,15,15
57651194,5346,13,13
116379881,2088,11,10
152564261,1403,13,13
152928977,2667,13,13
57994033,2606,13,13
152919000,9379,10,10
32058155,5580,13,12
57653024,3409,15,15
52450086,138045,12,12
57649419,5804,14,14
129107816,1446,8,9
57653127,3109,15,15
57649158,0,15,15
57643684,12965,13,12
163543991,700332,10,11
210223188,7413,14,14
57646921,1117,16,16
587067794,582,13,13
254993545,2281,11,10
152571947,3218,11,12
25806049,64362,11,10
57648554,5158,16,16
