graph_type,nodes,edges,greatest_time,strongly_connected,path_length
data/wico-graph/Other_Graphs/,6,10,44342918,1,1
data/wico-graph/Other_Graphs/,37,116,8625727,10,1
data/wico-graph/Other_Graphs/,99,484,233185,17,1
data/wico-graph/Other_Graphs/,7,16,7253092,2,1
data/wico-graph/Other_Graphs/,39,45,221492,34,1
data/wico-graph/Other_Graphs/,84,670,170293,4,1
data/wico-graph/Other_Graphs/,87,98,3374137,79,1
data/wico-graph/Other_Graphs/,97,1371,206142,9,0
data/wico-graph/Other_Graphs/,96,1739,93946,6,1
data/wico-graph/Other_Graphs/,86,67,730927,69,2
data/wico-graph/Other_Graphs/,91,86,9639164,78,1
data/wico-graph/Other_Graphs/,8,12,220065,5,1
data/wico-graph/Other_Graphs/,25,64,1684598,9,0
data/wico-graph/Other_Graphs/,91,166,1173095,54,1
data/wico-graph/Other_Graphs/,22,59,57876,2,1
data/wico-graph/Other_Graphs/,12,16,144851,5,2
data/wico-graph/Other_Graphs/,9,17,52526,5,2
data/wico-graph/Other_Graphs/,17,60,1081643,3,1
data/wico-graph/Other_Graphs/,90,61,6376709,70,3
data/wico-graph/Other_Graphs/,36,106,21918733,10,1
data/wico-graph/Other_Graphs/,90,33,10372662,81,0
data/wico-graph/Other_Graphs/,29,82,123936,6,2
data/wico-graph/Other_Graphs/,83,411,5978371,13,1
data/wico-graph/Other_Graphs/,85,400,311754,18,1
data/wico-graph/Other_Graphs/,31,276,69709,1,1
data/wico-graph/Other_Graphs/,9,18,31652796,6,1
data/wico-graph/Other_Graphs/,7,14,97555,2,1
data/wico-graph/Other_Graphs/,96,270,7833902,51,1
data/wico-graph/Other_Graphs/,33,111,82549,6,2
data/wico-graph/Other_Graphs/,92,849,803933,8,2
data/wico-graph/Other_Graphs/,9,7,13262,6,0
data/wico-graph/Other_Graphs/,89,127,5739176,60,1
data/wico-graph/Other_Graphs/,69,440,130545,18,0
data/wico-graph/Other_Graphs/,53,178,12285494,9,0
data/wico-graph/Other_Graphs/,47,202,9393254,9,0
data/wico-graph/Other_Graphs/,5,1,25410,5,0
data/wico-graph/Other_Graphs/,14,9,74326,14,0
data/wico-graph/Other_Graphs/,19,53,52582,1,1
data/wico-graph/Other_Graphs/,88,729,9440500,9,3
data/wico-graph/Other_Graphs/,64,178,2589252,32,1
data/wico-graph/Other_Graphs/,82,64,66998,72,2
data/wico-graph/Other_Graphs/,89,743,58782026,18,0
data/wico-graph/Other_Graphs/,85,18,2062532,79,0
data/wico-graph/Other_Graphs/,92,222,2859765,43,0
data/wico-graph/Other_Graphs/,93,313,7251188,45,0
data/wico-graph/Other_Graphs/,68,255,133254,26,1
data/wico-graph/Other_Graphs/,91,104,1218987,79,1
